Date,NestLocation,ObserverLocation,NestStatus,NestCondition,Observer,Temp,Wind-Velocity(mph),Wind-Direction,Precipatation,CloudCover,Equipment,StartTime,EndTime,TimeOfObservation,#BirdsPresent&Plumages,#BirdsonNest,BehaviorofAdults,Approx.#ofEggs,Approx. #ofChicks,AdditionalComments
4/2/1996,West Nest 1,,I,,Feix,40,15,,,100,,,,,,,,,,
4/16/1996,West Nest 1,,I,,M. Bernhardt ,40,15,W,Rain,100,60X Spotting Scope,14:35,15:05,14:35,1A,1A,,,,
4/17/1996,West Nest 1,,I,,M. Bernhardt ,40,15,W,Rain,101,60X Spotting Scope,14:35,15:05,14:50,2A,1A,flew overhead ,,,
4/18/1996,West Nest 1,,I,,M. Bernhardt ,40,15,W,Rain,102,60X Spotting Scope,14:35,15:05,14:53,1A 1J,1A,,,,
4/19/1996,West Nest 1,,I,,M. Bernhardt ,40,15,W,Rain,103,60X Spotting Scope,14:35,15:05,15:03,1A,1A,,,,
5/1/1996,West Nest 1,,I,,M Bernhardt,50,15,S,,50,SScope/Bino,13:30,14:20,13:30,1A,1A,,,,
5/2/1996,West Nest 1,,I,,M Bernhardt,50,15,S,,51,SScope/Bino,13:30,14:20,13:45,1A 1J,1A,,,,
5/3/1996,West Nest 1,,I,,M Bernhardt,50,15,S,,52,SScope/Bino,13:30,14:20,14:15,1A 1J,1A,settles in nest,,,
5/1/1996,West Nest 1,,I,, M.Bernhardt/Altstaetler,50,15,S,,50,SScope/Bino,11:00,12:15,11:00,1A,1A,,,,
5/2/1996,West Nest 1,,I,, M.Bernhardt/Altstaetler,50,15,S,,51,SScope/Bino,11:00,12:15,11:05,1A,1A,,,,
5/3/1996,West Nest 1,,I,, M.Bernhardt/Altstaetler,50,15,S,,52,SScope/Bino,11:00,12:15,11:25,2A,1A,changing incubating positions,,,
5/4/1996,West Nest 1,,I,, M.Bernhardt/Altstaetler,50,15,S,,53,SScope/Bino,11:00,12:15,11:30,2A,1A,both fly away and  one returns,,,
5/5/1996,West Nest 1,,I,, M.Bernhardt/Altstaetler,50,15,S,,54,SScope/Bino,11:00,12:15,11:42,2A,1A,,,,
5/6/1996,West Nest 1,,I,, M.Bernhardt/Altstaetler,50,15,S,,55,SScope/Bino,11:00,12:15,12:15,2A,1A,changing incubating positions,,,
5/1/1996,West Nest 1,,I,,Wright/Boyer,50,13,SE,,100,,9:00,9:50,10:15,1A 1J,1A,,,,
5/3/1996,West Nest 1,,I,,Boyer,53,10,SE,,80,,9:00,9:45,9:00,1A,1A,,,,
5/3/1996,West Nest 1,,I,,Boyer,53,10,SE,,80,,9:00,9:45,9:05,1A 1J,1A,J chsed away by adult,,,
5/3/1996,West Nest 1,,I,,Boyer,53,10,SE,,80,,9:00,9:45,9:13,1J,0,J took fish close to nest,,,
5/3/1996,West Nest 1,,I,,Boyer,53,10,SE,,80,,9:00,9:45,9:19,1A,1A,,,,
