Monitoring Route	Date	eBird 	# of Species	Total species	CAGO	H/S	MAWR	H/S	GBHE	H/S	WODU	H/S	WOTH	H/S
Blue Trail	7/13/2016	N	2	8					2	2				
Blue Trail	7/13/2016	N	4	0					1	2				
Blue Trail	7/13/2016	N	2	0					1	2				
Blue Trail	7/13/2016	N	2	0										
Blue Trail	7/13/2016	N	1	0					2	2				
Blue Trail	7/13/2016	N	1	0										
Blue Trail	7/13/2016	N	2	0			1	1						
Blue Trail	7/13/2016	N	1	0										
Green Trail	7/13/2016	N	1	6										
Green Trail	7/13/2016	N	1	0										
Green Trail	7/13/2016	N	1	0										
Green Trail	7/13/2016	N	1	0										
Green Trail	7/13/2016	N	1	0										
Green Trail	7/13/2016	N	1	0										
Blue Trail	7/13/2016	N	1	6										
Blue Trail	7/13/2016	N	1	0										
Blue Trail	7/13/2016	N	2	0					1	2				
Blue Trail	7/13/2016	N	1	0										
Blue Trail	7/13/2016	N	1	0										
Blue Trail	7/13/2016	N	3	0										
Blue Trail	7/13/2016	N	1	0										
Blue Trail	7/13/2016	N	1	0										
Blue Trail	7/13/2016	N	1	0										
Blue Trail	7/13/2016	N	1	0										
Blue Trail	7/15/2016	N	2	7					1	2				
Blue Trail	7/15/2016	N	2	0										
Blue Trail	7/15/2016	N	1	0										
Blue Trail	7/15/2016	N	1	0										
Blue Trail	7/15/2016	N	2	0										
Blue Trail	7/15/2016	N	1	0										
Blue Trail	7/15/2016	N	2	0										
Blue Trail	7/15/2016	N	1	0										
Blue Trail	7/15/2016	N	1	0										
Blue Trail	7/15/2016	N	1	0										
Blue Trail	7/15/2016	N	1	0					1	2				
Blue Trail	7/15/2016	N	2	0										
Red Trail	7/15/2016	N	1	8										
Red Trail	7/15/2016	N	1	0										
Red Trail	7/15/2016	N	1	0										
Red Trail	7/15/2016	N	1	0										
Red Trail	7/15/2016	N	1	0										
Red Trail	7/15/2016	N	1	0										
Red Trail	7/15/2016	N	1	0										
Red Trail	7/15/2016	N	1	0										
Red Trail	7/14/2016	N	1	8										
Red Trail	7/14/2016	N	2	0										
Red Trail	7/14/2016	N	1	0										
Red Trail	7/14/2016	N	1	0										
Red Trail	7/14/2016	N	1	0										
Red Trail	7/14/2016	N	1	0										
Red Trail	7/17/2016	N	1	4										
Red Trail	7/17/2016	N	1	0										
Red Trail	7/17/2016	N	1	0										
Red Trail	7/17/2016	N	1	0										
Red Trail	7/17/2016	N	1	0										
Red Trail	7/17/2016	N	1	0										
Purple Trail	7/16/2016	N	4	12										
Purple Trail	7/16/2016	N	1	0										
Purple Trail	7/16/2016	N	1	0										
Purple Trail	7/16/2016	N	1	0										
Purple Trail	7/16/2016	N	2	0										
Purple Trail	7/16/2016	N	2	0										
Purple Trail	7/16/2016	N	1	0										
Purple Trail	7/16/2016	N	3	0										
Purple Trail	7/16/2016	N	1	0										
Purple Trail	7/16/2016	N	1	0										
Purple Trail	7/16/2016	N	2	0										
Purple Trail	7/16/2016	N	2	0										
Purple Trail	7/16/2016	N	2	0										
Red Trail	7/16/2016	N	2	10										
Red Trail	7/16/2016	N	2	0									1	1
Red Trail	7/16/2016	N	2	0										
Red Trail	7/16/2016	N	1	0									1	3
Red Trail	7/16/2016	N	2	0										
Red Trail	7/16/2016	N	1	0										
Red Trail	7/16/2016	N	1	0										
Green Trail	7/16/2016	N	2	10										
Green Trail	7/16/2016	N	2	0										
Green Trail	7/16/2016	N	2	0										
Green Trail	7/16/2016	N	1	0										
Green Trail	7/16/2016	N	4	0										
Green Trail	7/16/2016	N	1	0										
Green Trail	7/16/2016	N	3	0										
Blue Trail	7/16/2016	N	3	9			1	1						
Blue Trail	7/16/2016	N	1	0			1	1						
Blue Trail	7/16/2016	N	3	0										
Blue Trail	7/16/2016	N	1	0										
Blue Trail	7/16/2016	N	1	0										
Blue Trail	7/16/2016	N	2	0										
Blue Trail	7/16/2016	N	1	0										
Blue Trail	7/16/2016	N	1	0										
Blue Trail	7/16/2016	N	1	0										
Blue Trail	7/16/2016	N	1	7										
Blue Trail	7/16/2016	N	1	0										
Blue Trail	7/16/2016	N	1	0										
Blue Trail	7/16/2016	N	1	0										
Blue Trail	7/16/2016	N	2	0					1	2				
Blue Trail	7/16/2016	N	1	0										
Blue Trail	7/16/2016	N	1	0					1	2				
Blue Trail	7/16/2016	N	1	0										
Green Trail	7/12/2016	N	3	6										
Green Trail	7/12/2016	N	1	0										
Green Trail	7/12/2016	N	1	0										
Green Trail	7/12/2016	N	1	0										
Green Trail	7/12/2016	N	2	0										
Blue Trail	7/12/2016	N	5	11			1	1	1	2				
Blue Trail	7/12/2016	N	1	0										
Blue Trail	7/12/2016	N	1	0										
Blue Trail	7/12/2016	N	2	0										
Blue Trail	7/12/2016	N	2	0										
Blue Trail	7/12/2016	N	2	0							1	2		
Blue Trail	7/12/2016	N	1	0										
Red Trail	7/12/2016	N	2	8										
Red Trail	7/12/2016	N	1	0										
Red Trail	7/12/2016	N	1	0										
Red Trail	7/12/2016	N	2	0										
Red Trail	7/12/2016	N	1	0										
Red Trail	7/12/2016	N	2	0										
Red Trail	7/12/2016	N	1	0										
Red Trail	7/12/2016	N	1	0										
Purple Trail	7/12/2016	N	1	7										
Purple Trail	7/12/2016	N	1	0										
Purple Trail	7/12/2016	N	1	0										
Purple Trail	7/12/2016	N	1	0										
Purple Trail	7/12/2016	N	1	0										
Purple Trail	7/12/2016	N	3	0										
Green Trail	7/19/2016	N	1	5										
Green Trail	7/19/2016	N	1	0										
Green Trail	7/19/2016	N	1	0										
Green Trail	7/19/2016	N	1	0										
Green Trail	7/19/2016	N	1	0										
Blue Trail	7/19/2016	N	4	11			1	1	1	2				
Blue Trail	7/19/2016	N	1	0										
Blue Trail	7/19/2016	N	1	0					1	2				
Blue Trail	7/19/2016	N	3	0			1	1						
Blue Trail	7/19/2016	N	1	0										
Blue Trail	7/19/2016	N	1	0										
Blue Trail	7/19/2016	N	2	0			1	1						
Red Trail	7/19/2016	N	2	10									1	1
Red Trail	7/19/2016	N	1	0									1	1
Red Trail	7/19/2016	N	2	0										
Red Trail	7/19/2016	N	1	0										
Red Trail	7/19/2016	N	1	0										
Red Trail	7/19/2016	N	1	0										
Red Trail	7/19/2016	N	1	0										
Red Trail	7/19/2016	N	2	0										
Red Trail	7/19/2016	N	1	0										
Purple Trail	7/19/2016	N	3	13										
Purple Trail	7/19/2016	N	1	0										
Purple Trail	7/19/2016	N	2	0										
Purple Trail	7/19/2016	N	3	0										
Purple Trail	7/19/2016	N	2	0										
Purple Trail	7/19/2016	N	3	0										
Purple Trail	7/19/2016	N	1	0										
Purple Trail	7/19/2016	N	1	0										
Purple Trail	7/19/2016	N	1	0										
Purple Trail	7/19/2016	N	2	0										
Blue Trail	7/21/2016	N	3	7			1	1	1	2				
Blue Trail	7/21/2016	N	2	0					1	2				
Blue Trail	7/21/2016	N	1	0										
Blue Trail	7/21/2016	N	4	0			1	1	1	1				
Red Trail	7/21/2016	N	1	6										
Red Trail	7/21/2016	N	2	0										
Red Trail	7/21/2016	N	1	0										
Red Trail	7/21/2016	N	1	0										
Red Trail	7/21/2016	N	1	0										
Red Trail	7/21/2016	N	1	0										
Red Trail	7/21/2016	N	1	0										
Purple Trail	7/25/2016	N	1	9										
Purple Trail	7/25/2016	N	1	0										
Purple Trail	7/25/2016	N	2	0										
Purple Trail	7/25/2016	N	1	0										
Purple Trail	7/25/2016	N	2	0										
Purple Trail	7/25/2016	N	3	0										
Purple Trail	7/25/2016	N	1	0										
Red Trail	7/25/2016	N	2	7										
Red Trail	7/25/2016	N	2	0										
Red Trail	7/25/2016	N	1	0										
Red Trail	7/25/2016	N	1	0										
Red Trail	7/25/2016	N	1	0										
Red Trail	7/25/2016	N	1	0										
Red Trail	7/25/2016	N	2	0										
Green Trail	7/21/2016	N	1	4										
Green Trail	7/21/2016	N	1	0										
Green Trail	7/21/2016	N	1	0										
Green Trail	7/21/2016	N	1	0										
Red Trail	7/21/2016	N	1	4										
Red Trail	7/21/2016	N	1	0										
Red Trail	7/21/2016	N	1	0										
Red Trail	7/21/2016	N	1	0										
Purple Trail	7/21/2016	N	1	4										
Purple Trail	7/21/2016	N	1	0										
Purple Trail	7/21/2016	N	1	0										
Purple Trail	7/21/2016	N	1	0										
Blue Trail	7/21/2016	N	2	8										
Blue Trail	7/21/2016	N	1	0					3	2				
Blue Trail	7/21/2016	N	2	0										
Blue Trail	7/21/2016	N	2	0										
Blue Trail	7/21/2016	N	2	0										
Blue Trail	7/21/2016	N	1	0										
Blue Trail	7/21/2016	N	1	0										
Blue Trail	7/21/2016	N	1	0										
Green Trail	7/26/2016	N	1	5										
Green Trail	7/26/2016	N	1	0										
Green Trail	7/26/2016	N	1	0										
Green Trail	7/26/2016	N	1	0										
Green Trail	7/26/2016	N	1	0										
Green Trail	7/26/2016	N	1	0										
Green Trail	7/26/2016	N	1	0										
Red Trail	7/31/2016	N	2	6										
Red Trail	7/31/2016	N	1	0										
Red Trail	7/31/2016	N	1	0										
Red Trail	7/31/2016	N	1	0										
Red Trail	7/31/2016	N	1	0										
Red Trail	7/31/2016	N	1	0									1	1
Red Trail	7/28/2016	N	1	5										
Red Trail	7/28/2016	N	1	0										
Red Trail	7/28/2016	N	1	0										
Red Trail	7/28/2016	N	1	0										
Red Trail	7/28/2016	N	1	0										
Red Trail	7/28/2016	N	1	0										
Red Trail	7/30/2016	N	2	6										
Red Trail	7/30/2016	N	1	0										
